ImageId,Path,Set
ID_ebc163e56.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_ebc163e56.dcm,val
ID_8c1d8db72.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_8c1d8db72.dcm,val
ID_9540eea7d.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_9540eea7d.dcm,val
ID_8b3036ab4.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_8b3036ab4.dcm,val
ID_d1e98d7bd.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_d1e98d7bd.dcm,val
ID_8d2a0b969.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_8d2a0b969.dcm,val
ID_6daeaec68.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_6daeaec68.dcm,val
ID_081337ca5.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_081337ca5.dcm,val
ID_bf0650b32.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_bf0650b32.dcm,val
ID_8c1670bf3.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_8c1670bf3.dcm,val
ID_9bce08729.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_9bce08729.dcm,val
ID_b3e27632d.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_b3e27632d.dcm,val
ID_b007b2572.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_b007b2572.dcm,val
ID_b80d44926.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_b80d44926.dcm,val
ID_609806ebc.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_609806ebc.dcm,val
ID_e8808e0ce.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_e8808e0ce.dcm,val
ID_6eb1941d0.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_6eb1941d0.dcm,val
ID_81dd08780.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_81dd08780.dcm,val
ID_91144dc39.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_91144dc39.dcm,val
ID_896e2607a.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_896e2607a.dcm,val
ID_b36ffddcb.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_b36ffddcb.dcm,val
ID_ec4c7cbb9.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_ec4c7cbb9.dcm,val
ID_fbe7ad482.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_fbe7ad482.dcm,val
ID_d3639ddab.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_d3639ddab.dcm,val
ID_ba5f72409.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_ba5f72409.dcm,val
ID_a5b876d4f.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_a5b876d4f.dcm,val
ID_ea56a87da.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_ea56a87da.dcm,val
ID_5c658c92c.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_5c658c92c.dcm,val
ID_48a13efb9.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_48a13efb9.dcm,val
ID_f1f019751.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_f1f019751.dcm,val
ID_abb5c6634.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_abb5c6634.dcm,val
ID_85dfce0db.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_85dfce0db.dcm,val
ID_b64924ac9.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_b64924ac9.dcm,val
ID_4a13255c6.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_4a13255c6.dcm,val
ID_27e7a530f.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_27e7a530f.dcm,val
ID_92d5003a8.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_92d5003a8.dcm,val
ID_9f432dcc9.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_9f432dcc9.dcm,val
ID_6a454a7d2.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_6a454a7d2.dcm,val
ID_5b6868bb6.dcm,/media/nvme/Datasets/Pneumothorax/dicom-images-test2/ID_5b6868bb6.dcm,val
